type,price,startDate,timeStep,GHGcost,units
gas,2.65,7/1/2015,monthly,15,$/MMBtu
,2.68,,,,
,2.69,,,,
,2.73,,,,
,2.85,,,,
,3.03,,,,
,3.13,,,,
,3.13,,,,
,3.09,,,,
,2.96,,,,
,2.97,,,,
,3,,,,
,3.04,,,,
,3.06,,,,
,3.05,,,,
,3.08,,,,
,3.16,,,,
,3.32,,,,
,3.45,,,,
,3.44,,,,
,3.39,,,,
,3.16,,,,
,3.17,,,,
,3.2,,,,
,3.24,,,,
,3.25,,,,
,3.24,,,,
,3.27,,,,
,3.34,,,,
,3.5,,,,
,3.63,,,,
,3.61,,,,
,3.55,,,,
,3.25,,,,
,3.25,,,,
,3.28,,,,
,3.32,,,,
,3.33,,,,
,3.32,,,,
,3.35,,,,
,3.42,,,,
,3.59,,,,
,3.72,,,,
,3.7,,,,
,3.64,,,,
,3.35,,,,
,3.35,,,,
,3.39,,,,
,3.42,,,,
,3.44,,,,
,3.43,,,,
,3.45,,,,
,3.53,,,,
,3.71,,,,
,3.85,,,,
,3.83,,,,
,3.77,,,,
,3.46,,,,
,3.46,,,,
,3.49,,,,
,3.53,,,,
,3.55,,,,
,3.54,,,,
,3.57,,,,
,3.65,,,,
,3.84,,,,
,3.97,,,,
,3.95,,,,
,3.89,,,,
,3.58,,,,
,3.58,,,,
,3.61,,,,
,3.65,,,,
,3.68,,,,
,3.67,,,,
,3.71,,,,
,3.79,,,,
,3.98,,,,
,4.11,,,,
,4.09,,,,
,4.02,,,,
,3.72,,,,
,3.71,,,,
,3.74,,,,
,3.78,,,,
,3.82,,,,
,3.82,,,,
,3.87,,,,
,3.95,,,,
,4.14,,,,
,4.25,,,,
,4.23,,,,
,4.16,,,,
,3.85,,,,
,3.84,,,,
,3.87,,,,
,3.91,,,,
,3.95,,,,
,3.96,,,,
,4.01,,,,
,4.1,,,,
,4.29,,,,
,4.39,,,,
,4.36,,,,
,4.3,,,,
,3.97,,,,
,3.96,,,,
,3.99,,,,
,4.03,,,,
,4.08,,,,
,4.09,,,,
,4.15,,,,
,4.24,,,,
,4.43,,,,
,4.53,,,,
,4.51,,,,
,4.44,,,,
,4.08,,,,
,4.06,,,,
,4.1,,,,
,4.15,,,,
,4.19,,,,
,4.21,,,,
,4.27,,,,
,4.37,,,,
,4.58,,,,
,4.69,,,,
,4.66,,,,
,4.58,,,,
,4.18,,,,
,4.16,,,,
,4.2,,,,
,4.25,,,,
,4.29,,,,
,4.31,,,,
,4.37,,,,
,4.48,,,,
,4.71,,,,
,4.83,,,,
,4.8,,,,
,4.72,,,,
,4.32,,,,
,4.3,,,,
,4.34,,,,
,4.39,,,,
,4.43,,,,
,4.45,,,,
,4.51,,,,
,4.63,,,,
,4.86,,,,
